推薦年度,適讀年齡,經典好書,書名,作者,繪者,譯者,出版社,出版日期(西元),出版日期(民國),本土/翻譯,屬性分類,ISBN,定價
113,3~5歲,,河馬河馬大嘴巴,劉思源,陳完玲,,巴巴文化,2019-05-01,108-05,本土,社會情緒、認知探索、健康與生活,9789869743716 ,280
112,3~5歲,,書中有一道牆,強．艾吉,強．艾吉,賴嘉綾,三民書局,2019-04-01,10804,翻譯,,9789571466019,329
111/112,0~3歲,,一起去郊遊,約翰．伯寧罕,約翰．伯寧罕,林真美,遠流出版,2019-04-01,108.04,翻譯,語言溝通、認知探索、生活自理,9789573284932,350
109,3~5歲,,好煩好煩的長頸鹿,喬里．約翰,藍・史密斯,游珮芸,水滴文化,2019-04-01,108-04,翻譯,社會情緒,9789869706759,360
109/111/112,3~5歲,是,哇！公園有鷹,何華仁,何華仁,,青林國際,2019-04-01,108.04,本土,認知探索、社會情緒,9789862744345,350
109/112,3~5歲,,小房子烏比,吳語緁,吳語緁,,,2019-04-01,108-04,翻譯,社會情緒,9789861615998,280
109/111,3~5歲,,阿里的車,約翰．伯寧罕,約翰．伯寧罕,林真美,遠流出版,2019-04-01,108.04,翻譯,社會情緒,9789573284949,280
112,0~3歲,,送給你,童嘉,童嘉,,聯經出版,2019-03-01,10803,本土,,9789570852691,270
109,0~3歲,,我是誰？,崔斯坦莫瑞,崔斯坦莫瑞,黃鈞荻,,2019-03-01,108-03,翻譯,"身體動作,認知探索",9789861898766,420
112/113,3~5歲,,挖土機與小花,約瑟夫‧庫夫勒,約瑟夫‧庫夫勒,黃筱茵,水滴文化(城邦出版),2019-02-01,108-02,翻譯,社會情緒、語言溝通、認知探索,9789869674744,350
109,3~5歲,,樹林裡的房子,茱莉‧福萊諾,藍‧史密斯,劉清彥,拾光工作室,2019-02-01,108-02,翻譯,"社會情緒,語言溝通,美感,認知探索",9789869685115,360
109,0~3歲,,好癢！好癢！,陶樂蒂,陶樂蒂,,,2019-02-01,108-02,翻譯,"認知探索,社會情緒",9789862942246,300
109/110/111,3~5歲,是,蔬菜頌歌,窗道雄,齊藤恭久,米雅,步步出版,2019-02-01,108.02,翻譯,語言溝通、認知探索,9789579380270,320
109/110/112,0~3歲,是,比一比，誰最長？,佐藤伸,山村浩二,蘇懿禎,小熊出版,2019-02-01,108-02,翻譯,語言溝通、認知探索,9789578640757,300
111,3~5歲,,手套｛烏克蘭民間童話｝,羅馬娜．洛瑪尼新、安德瑞．雷西夫,羅馬娜．洛瑪尼新、安德瑞．雷西夫,蔡季佐,布克文化,2019-01-01,108.01,翻譯,認知探索、美感,9789579699594,320
110,0~3歲,,小麻雀，你去哪裡吃飯？,田代千里,田代千里,方美鈴,,2019-01-01,108-01,翻譯,認知探索,9789864795918,
